person,also_recorded_as,first_year,last_year,years_served,years,most_senior_office,all_offices,what_they_did,sources
Chris Gibson,,1991-92,1991-92,1,1991-92,Congress member (seat not specified in minutes),Congress member (seat not specified in minutes) (1991-92),On the absence roll at 25 Feb 1992 only. No later mentions.,"ASG Minutes, 25 Feb 1992"
Chris Grau,,1968-69,1968-69,1,1968-69,Office Secretary,Office Secretary (1968-69),"Chris Grau is named as “Office Secretary” beside the elected officers in the 1969 Talisman's Associated Students spread, a clerical post held alongside, not instead of, the elected secretary Becky Cooper. The Congress minutes of 13 February 1969 carry a signature this archive has not been able to verify against another source. Read closely, the minutes' own typed name line reads ""Christing L. Graue"" rather than ""Christina,"" an apparent typographical slip, while the cursive signature above it is more consistent with ""Christina."" Because the minutes' own typed transcription of the name contains a likely error, it cannot settle whether the Talisman's ""Chris Grau"" or the minutes' ""Graue"" is the correct spelling; the name is recorded here as the Talisman prints it and flagged rather than silently corrected.","UA12/2/2 1969 Talisman pt. 1, Associated Students section"
Chris Jankowski,,2010-11,2011-12,2,2010-11; 2011-12,Associate Justice,Associate Justice (2010-11); Associate Justice (2011-12),"Appointed to the Judicial Council on 29 March 2011 alongside Pawley. Chris Jankowski was appointed an associate justice of SGA's Judicial Council on 29 March 2011, alongside Aaron Pawley, when Art Scisney was elevated to chief justice. He continued on the council into 2011-12, when nearly a third of the senate's 36 members were called before judicial review for excessive absences; Jankowski said the two dismissed senators, Kevin Adams and Kevin Preston, had racked up eight to ten absences across senate and committee meetings, while Chief Justice David Spalding said the council read a failure to appear at a review hearing as intent to resign. Jankowski told the Herald the council would soon issue a judicial opinion reinterpreting the constitution to give senators ""a little more leeway"" on absences. In February 2012 he was one of four WKU SGA members who traveled to Frankfort for the Rally for Higher Education, held to protest a proposed 6.4 percent cut to Kentucky's post-secondary education budget, telling the Herald that students needed to get their voice out and make themselves heard on the need for funding.","Herald, 29 Mar 2011; Herald, 8 Feb 2012"
Chris Kraus,,1995-96,1995-96,1,1995-96,Junior Off-Campus Representative,Junior Off-Campus Representative (1995-96),Accepted by acclamation as Junior Off-Campus Representative 13 Feb 1996. Does not reappear in any later minutes read.,"SGA Meeting Minutes, 13 Feb 1996"
Chris LeNeave,,1986-87,1986-87,1,1986-87,"Chairman, Student Rights Committee","Chairman, Student Rights Committee (1986-87)","Chris LeNeave chaired the Student Rights Committee of Associated Student Government in 1986-87, appointed on 2 September 1986. Several months earlier, in April 1986, he had written to the Herald criticizing the paper's own staff. The Christopher LeNeave listed in the 1987 Talisman's senior class directory as a Mayfield native studying biology is the same man. The yearbook's index carries a single Leneave, Christopher M., and refers him to the directory page and to the two pages carrying the Associated Student Government group photographs, in the first of which he is named in the second row beside William Schilling, with president Tim Todd in the back row. An earlier pass recorded the two as possibly distinct; the index entry closes the gap.","ASG minutes, 2 September 1986 and 3 February 1987"
Chris Mckenna,,2013-14,2013-14,1,2013-14,"Academic Affairs Vice-Chair, appointed 29 October 2013","Academic Affairs Vice-Chair, appointed 29 October 2013 (2013-14)",Sworn in as a presidential appointment to Academic Affairs vice head at the 29 October 2013 meeting.,"SGA Senate minutes, 29 Oct 2013"
Chris Millay,,1985-86,1986-87,2,1985-86; 1986-87,Congress member,Congress member (1985-86); Parliamentarian (1986-87),"Named absent at the roll call of the 15 April 1986 ASG meeting, the year before he was elected Parliamentarian. Chris Millay was nominated from the floor and elected Parliamentarian of Associated Student Government on 2 September 1986; the minutes note he also served as vice-chair of the Legislative Research Committee that year. Two weeks into his term, writing as Christopher Millay, he had a piece published in the Herald on the stereotyping of Christianity.","ASG Meeting Minutes, 15 April 1986; ASG minutes, 2 September 1986"
Chris Moore,,1971-72,1971-72,1,1971-72,Senator,Senator (1971-72),"Chris Moore sat in the Associated Students Congress in 1971-72, under president Linda Jones, vice president Reginald Glass, secretary Nancy Pape and treasurer Joe Glasser. The Congress group photograph on pp. 272-273 of the 1972 Talisman is the only record of the term found: it names the members and gives no office, seat or committee. The same pages record the Congress's year - elections for class officers, Who's Who and Homecoming queen, an October mock election for governor, an autumn symposium at which students questioned administrators, a renewed attempt at constitutional revision, and the revival of the Kentucky Student Association among the state's student governments.","1972 Talisman, pp. 272-273"
Chris Summerville,,1989-90,1989-90,1,1989-90,Congress member (seat not specified in the minutes),Congress member (seat not specified in the minutes) (1989-90),"On the absence roll 29 August 1989, before being sworn. Sworn in (with Steve Mason) 5 September 1989, no seat title recorded. Absent 19 September, 3 October, 7 November, 14 November and 21 November 1989.","ASG Minutes, 5 September 1989"
Chris Sweeney,,1991-92,1991-92,1,1991-92,Representative at Large,Representative at Large (1991-92),"Accepted by floor vote as Representative at Large, reported in the 24 Mar 1992 officer report.","ASG Minutes, 24 Mar 1992"
Chris Watkins,,1983-84,1983-84,1,1983-84,Congress member,Congress member (1983-84),Named absent at the roll call of the 30 August 1983 ASG meeting.,"ASG Meeting Minutes, 30 August 1983"
Chris Whitfield,,2005-06,2006-07,2,2005-06; 2006-07,"Chief Justice, Judicial Council","Chief Justice, Judicial Council (2005-06); Associate Justice, Judicial Council (2006-07)","Appointed by Katie Dawson and confirmed on 6 September 2005, then swore in the committee chairs, the Secretary of the Senate and eleven senators the same night. Chris Whitfield was appointed Chief Justice of the Judicial Council by president Katie Dawson and confirmed by the Senate on 6 September 2005; he swore in the committee chairs, the Secretary of the Senate, and eleven senators that same night. He returned for 2006-07 as an associate justice, and the Senate was told on 5 September 2006 that he planned to graduate that December.","SGA Senate minutes, 5 Sep 2006, TopSCHOLAR; SGA Senate minutes, 6 Sep 2005, TopSCHOLAR"
Chris Williams,,1997-98,1997-98,1,1997-98,"Congress member, per the year's absence lists (seat not stated)","Congress member, per the year's absence lists (seat not stated) (1997-98)","Recorded absent from the Congress meeting of 14 Oct 1997, against a roster the minutes do not print in full.","SGA Meeting Minutes, 14 Oct 1997"
Christa Wilcox,,2005-06,2006-07,2,2005-06; 2006-07,Senator; Campus Improvements Committee vice-chair,Senator; Campus Improvements Committee vice-chair (2005-06); Senator (2006-07),Sworn in as a Senator 6 Sep 2005 and appointed Campus Improvements Committee vice-chair 11 Oct 2005; announced a Red Cross blood drive 18 Apr 2006. Sworn in to the Senate on 5 September 2006; offered friendly amendments to legislation on 28 November.,"SGA Meeting Minutes, 5 Sep 2006; SGA Meeting Minutes, 6 Sep 2005"
Christen Gibbs,,1997-98,1998-99,2,1997-98; 1998-99,Bemis Lawrence Hall representative,Bemis Lawrence Hall representative (1997-98); Education College representative (1998-99),"Elected Bemis Lawrence Hall representative in the 3 Feb 1998 election results. Sworn in 3 Nov 1998, held seat through at least 13 April 1999.","SGA Meeting Minutes, 3 Feb 1998; SGA Meeting Minutes, November 3, 1998"
Christian Cullip,,2006-07,2006-07,1,2006-07,Senator,Senator (2006-07),"Sworn in to the Student Senate 3 October 2006, printed ""Christian Cullip"". The 12 September minutes, three weeks earlier, name a ""Christian Cullig"" as Public Relations Chair nominee, marked not present; whether this is the same person, and how that predates his Senate oath, is not established here. Flagging the spelling discrepancy.","SGA Minutes, 3 October 2006"
Christie Foster,,1992-93,1992-93,1,1992-93,Senator,Senator (1992-93),On the Congress absence roll at the earliest surviving meetings (25 Aug–8 Sept 1992); not found in later minutes.,"SGA Minutes, 25 Aug 1992"
Christina Allen,,2006-07,2006-07,1,2006-07,Senator,Senator (2006-07),"Approved by the Senate and sworn in by Justice Brian Fischer at the seventh meeting, 17 October 2006. The 24 October minutes list her again among that night's new senators, apparently repeating the earlier business rather than a second swearing.","SGA Minutes, 17 October 2006"
Christina Kayrouz,,2004-05,2004-05,1,2004-05,"Co-Chair, Student Affairs Committee","Co-Chair, Student Affairs Committee (2004-05)","Christina Kayrouz was profiled as a Senate candidate in the Herald's ""Decision 2004"" special election edition ahead of the March 2004 vote. She was seated and named co-chair of the Student Affairs Committee for 2004-05, alongside Tim Howard. The archive has found no further record of her committee work.","WKU SGA legislative branch page, standing committees 2004-2005, archived 8 Feb 2005"
